,data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,Label
260,940,3,32591.04762,-0.022700054,0.220113108,0,258.0952381,1,1,0
657,285,6,699.0952381,0.041548726,0.278083071,0,0,2.285714286,2.5,2
77,761,6,291861.9048,-0.018276548,0.199052953,0,147.7142857,2.761904762,1.571428571,0
318,211,2,74.9047619,-0.024047264,0.24669142,0,0,2,1.357142857,1
633,563,4,1745.428571,0.003627289,0.115437824,476.1904762,0,4,4,1
72,810,6,26804.7619,-0.025511254,0.229553372,0,562.952381,1,1,0
265,140,1,20.04761905,-0.003607504,0.23298191,0,0,1,1,0
195,908,6,107240.8571,-0.014784364,0.238805118,0,42.42857143,1,1,0
117,179,5,272.3809524,0.000245394,0.199448003,0,0,2.095238095,2.321428571,0
916,854,1,11475.85714,0.008979998,0.073290303,0,108.2380952,1,1,2
480,526,2,1622.190476,0.009451514,0.255721389,395.4761905,0,4,4,1
475,360,4,395.952381,-0.008314413,0.292706582,0,0,2.071428571,2,1
176,753,5,359565.0476,-0.008050179,0.169926237,0.047619048,117.5714286,3.428571429,2.142857143,0
538,835,3,8453.52381,-0.012526589,0.173117747,0,320.1428571,1,1,1
330,669,5,4937.142857,-0.037849604,0.286706651,612.1428571,90.80952381,4,4,1
403,443,3,582.0952381,0.003259005,0.254279663,1.761904762,0,2,2,1
555,91,1,29.9047619,0.026282192,0.278085173,0,0,1,1,1
936,148,2,15.14285714,-0.001982487,0.035860745,0,0,1,1.214285714,2
771,167,0,130.8095238,0.045493717,0.304371407,0,0,1.380952381,2.285714286,2
400,349,0,390.4761905,0.024157438,0.293238729,0,0,2.333333333,2,1
647,235,5,73.0952381,0.016400129,0.211009471,0,0,1.095238095,1,2
181,935,5,39487.04762,-0.016441667,0.211007296,0,180.2857143,1,1,0
882,712,6,49672,0.017143137,0.113062131,2.714285714,478.8571429,4,4,2
720,492,3,872.6190476,0.033085137,0.237312742,117.6190476,0,2.285714286,4,2
291,668,4,5121.619048,-0.040055538,0.297603057,622.952381,80.66666667,3.857142857,4,0
146,821,3,15512.47619,-0.034840916,0.278970253,0,474.4761905,1,1,0
765,631,2,3017.095238,0.015507088,0.127883665,446.0952381,0.238095238,1,1,2
701,614,6,2006.52381,0.014319083,0.144573655,364.1904762,0,2.142857143,1,2
803,265,0,273.4285714,0.022568605,0.150550276,0,0,1.404761905,2.214285714,2
254,125,0,28.71428571,0.002886003,0.217748621,0,0,1,1,0
703,615,0,2054.428571,0.013062648,0.13897416,364.2857143,0,2,1,2
783,487,5,671.7619048,0.024787854,0.183959956,75.95238095,0,2,3.714285714,2
