data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,RI,label,beta,gamma,R0,Re,growth_rate,doubling_time,sir_fit_r2,sir_residual,sir_rel_residual,Re_trend,peak_estimate,initial_cases,final_cases,case_ratio,sir_reliable
832,0,0.4323,-0.0211,0.2522,0,1,0.1389,0.1389,-0.001443032200742193,1,0.1849,0.1956,0.945,0.942,-0.0107,64.6,0.1863,-2482.8,-0.4829,0.0136,13996.0,9465,5139,0.543,1
778,2,0.4152,-0.0343,0.2491,0,1,0.1389,0.1389,-0.006693477410371538,0,0.25,0.1,2.5,2.368,0.15,4.6,-1150.7664,-4474204.8,-67.7249,0.0025,595359.1,290419,66063,0.227,0
39,5,0.3434,-0.0356,0.2678,0,0,0.5931,0.4352,-0.00884725627963751,0,0.0995,0.2,0.498,0.498,-0.1005,6.9,0.9494,-0.4,-0.0357,-0.0079,69.6,69,8,0.127,1
332,4,0.4245,-0.011,0.2278,0,0,0.6389,0.623,-0.0003806906894617791,1,0.0972,0.1203,0.807,0.807,-0.0232,29.9,-0.4788,117.2,0.2585,0.0026,532.8,532,452,0.847,0
621,6,0.205,0.0139,0.1329,1,0,0.4219,0.4453,0.00682394513526645,2,0.122,0.096,1.271,1.269,0.026,26.7,0.5875,307.6,0.0938,0.0204,3873.8,1766,3277,1.855,1
422,3,0.5605,-0.0124,0.2908,0,0,0.5198,0.5,-0.0005195252120558057,1,0.1033,0.1139,0.907,0.907,-0.0106,65.4,-0.0159,39.1,0.0646,-0.0124,763.8,698,603,0.864,0
86,3,0.2993,0.0243,0.2653,0,0,0.5348,0.5324,0.005147720140445707,2,0.1504,0.1466,1.026,1.026,0.0038,182.6,-0.1569,17.4,0.3482,0.0218,53.8,29,48,1.618,0
412,0,0.5647,0.0212,0.2885,0,0,0.5595,0.5,-0.0007800583257605336,1,0.19,0.1609,1.181,1.181,0.0291,23.8,-1.0651,-110.6,-0.1722,0.0029,890.1,419,640,1.523,0
213,4,0.5504,-0.0167,0.2901,0,0,0.5968,0.5218,-0.00129696874471537,1,0.0949,0.1434,0.662,0.662,-0.0485,14.3,-0.3444,28.5,0.3807,0.0096,119.6,119,73,0.612,0
260,2,0.2183,0.0253,0.1723,0,0,0.5686,0.5813,0.01711983236565847,2,0.2237,0.1623,1.379,1.379,0.0614,11.3,0.8661,-56.1,-0.1976,0.0434,469.3,99,283,2.823,1
